,image_name,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
1994,00032.png,-0.24271161420795528;-0.36008251635573574;-0.9007950120551789;0.450565827137527;0.7804880063953696;-0.4333923249076494;0.8591167020518486;-0.5110568004516746;-0.027192627082585075,21.95411203104684;16.19684234020827;38.7499605972866,699.4297855981051;0.0;384.0;0.0;699.4297855981051;512.0;0.0;0.0;1.0,church,church
1995,00031.png,-0.36588892039824006;-0.34870757964187504;-0.8628605459922916;0.47519187565283727;0.727182319161915;-0.4953771855988497;0.8001987123479697;-0.59127734490559;-0.10036494486645786,16.44063542494422;19.744648685065826;39.50843317362864,2206.6242084953265;0.0;384.0;0.0;2206.6242084953265;512.0;0.0;0.0;1.0,church,church
1996,00030.png,-0.15289241244917884;-0.4098557881484399;-0.8992453186626506;0.5829587232074288;0.6973570005891221;-0.4169560417666444;0.7979868653379172;-0.5879723179287988;0.13230841279979455,9.49799452007663;16.41946637001256;24.642354156911196,2219.728729335805;0.0;384.0;0.0;2219.728729335805;512.0;0.0;0.0;1.0,church,church
1997,00060.png,-0.6431404484900696;-0.25919947187675496;-0.7205456247142186;0.2831897251716895;0.7937483157525327;-0.5383002793954323;0.7114590241701733;-0.550253800549191;-0.43708902057589594,6.836646823563145;2.042696878009575;8.193343017302677,2260.6773960232076;0.0;384.0;0.0;2260.6773960232076;512.0;0.0;0.0;1.0,church,church
1998,00015.png,-0.2069055309929082;-0.38255313789821566;-0.9004683214465523;0.28748281704471434;0.8559808567551495;-0.4297096726544045;0.9351704289318488;-0.3477784777023285;-0.06712971993441452,43.05927425784515;13.957943970885921;59.74718702568946,2172.606130886347;0.0;384.0;0.0;2172.606130886347;512.0;0.0;0.0;1.0,church,church
1999,00016.png,-0.2707526233809763;-0.31935052334885183;-0.9081344945376396;0.5458857117315702;0.7260941338671243;-0.41808623331923744;0.7929071866616147;-0.6089355893693233;-0.02226300383592439,24.055212694436616;30.519685902303948;56.6075603048043,394.1421163754665;0.0;384.0;0.0;394.1421163754665;512.0;0.0;0.0;1.0,church,church
2000,00017.png,-0.6064146866287061;-0.27663277091175825;-0.7454767185490716;0.4015281566669397;0.702681427273693;-0.587378882126567;0.686320892327094;-0.6555250733742292;-0.3150404909421225,19.49089017724814;27.016549824235796;57.783059780753014,1380.0981119983494;0.0;384.0;0.0;1380.0981119983494;512.0;0.0;0.0;1.0,church,church
2001,00018.png,-0.6018537100515358;-0.2936475757196423;-0.7426595538813052;0.4015424389161929;0.692573095236029;-0.5992546850083209;0.6903157114295153;-0.6588729839879333;-0.298915723113387,19.945332333212107;27.905416700537035;57.27640004402621,2221.2037023762787;0.0;384.0;0.0;2221.2037023762787;512.0;0.0;0.0;1.0,church,church
2002,00019.png,-0.34724841336842527;-0.42675808882185046;-0.8350425576210073;0.37886284187071123;0.7507061823884157;-0.5412052981757101;0.8578353492732508;-0.5042992775613826;-0.09899874841788536,37.87641505639438;22.768965075593513;50.9292283648274,2239.883740900353;0.0;512.0;0.0;2239.883740900353;384.0;0.0;0.0;1.0,church,church
2003,00020.png,-0.28221033480706903;-0.3171905070514739;-0.9053990883386791;0.446457217536406;0.7919134040042958;-0.4165922628517953;0.8491367851163514;-0.5217885997171248;-0.08187415567509526,23.32275369279679;23.67663297890061;60.14562103813676,739.1276210258532;0.0;384.0;0.0;739.1276210258532;512.0;0.0;0.0;1.0,church,church
2004,00021.png,-0.2350573521076662;-0.31318134763313876;-0.9201442738586291;0.4379309143150044;0.8110132003837582;-0.38790991620544885;0.8677353026743565;-0.4941407009121847;-0.05348282149118466,15.653328089785836;15.925919308949593;42.44823961026051,741.0445473439818;0.0;384.0;0.0;741.0445473439818;512.0;0.0;0.0;1.0,church,church
2005,00022.png,-0.07864462729574728;-0.3742899067439636;-0.9239708265454641;0.4665337694396627;0.8052661530639159;-0.3659134661392795;0.881000150153184;-0.4598407207275547;0.11128902457488932,23.17738313234632;15.358304284552187;36.06808664531816,397.3319425761461;0.0;512.0;0.0;397.3319425761461;384.0;0.0;0.0;1.0,church,church
2006,00023.png,-0.40672422482176307;-0.35843893962307344;-0.8402957405015348;0.44977125044131533;0.7220441051682434;-0.525697757716586;0.7951611328652777;-0.5917548789437037;-0.13245729888054836,29.847929814419775;24.895356250706087;51.008302586069846,697.0151314992314;0.0;384.0;0.0;697.0151314992314;512.0;0.0;0.0;1.0,church,church
2007,00024.png,0.16040734290359437;-0.37042253909724165;-0.9149079881995573;0.3866750240590491;0.8764075573339021;-0.2870404487471355;0.9081585269717741;-0.30772867265949666;0.2838153517900007,39.352419363363325;8.660353454832865;30.034651052873688,1408.2245532435304;0.0;384.0;0.0;1408.2245532435304;512.0;0.0;0.0;1.0,church,church
2008,00025.png,0.22047124127885132;-0.42278444543329113;-0.879002698783472;0.3559936047692612;0.8738902822690814;-0.3310352366728539;0.9081084655107836;-0.2399355898055347;0.34317623404356046,41.39147573297934;8.927734297029069;26.79484782691043,2237.5516569621213;0.0;384.0;0.0;2237.5516569621213;512.0;0.0;0.0;1.0,church,church
2009,00026.png,-0.213956796310673;-0.31963368565978323;-0.9230692261710477;0.558217409183276;0.7354549911266343;-0.3840563501774622;0.8016332162511636;-0.5974447782167532;0.021069494164556613,13.504786954266688;17.584906328725275;31.10207197839917,2182.8487847698148;0.0;384.0;0.0;2182.8487847698148;512.0;0.0;0.0;1.0,church,church
2010,00027.png,0.26282871222956894;-0.434548124580329;-0.8614458749401877;0.4456419234238468;0.8465680516299334;-0.2910769830244098;0.8557595130145155;-0.30739300802591;0.41615525288279387,45.0020801464846;11.651709556514668;23.830370111612368,1378.3320841184595;0.0;512.0;0.0;1378.3320841184595;384.0;0.0;0.0;1.0,church,church
2011,00028.png,-0.11163328233667058;-0.3999331947820589;-0.9097205340026998;0.603900157896511;0.6997130640034667;-0.3817148508447763;0.7892037820280075;-0.5919924558423836;0.1634084534483855,46.01726022272898;25.30753566270425;37.846635889883736,399.5103518330974;0.0;512.0;0.0;399.5103518330974;384.0;0.0;0.0;1.0,church,church
2012,00029.png,-0.4042064816342321;-0.36747378532893726;-0.8376038068806143;0.3340501441032656;0.7931815862518198;-0.5091890341078001;0.8514855380037073;-0.4856191803533598;-0.19785446733260326,17.669739959299047;15.293305078153107;46.93542741453161,1396.7137178462945;0.0;384.0;0.0;1396.7137178462945;512.0;0.0;0.0;1.0,church,church
2013,00061.png,0.8503545144812302;-0.24795979234812945;-0.46412621244664015;0.2824710081482502;0.9592625647325103;0.005045934850729586;0.4439677119533609;-0.13539303261792746;0.8857547050179403,-13.136396356626534;10.479471830606656;20.946541699924033,757.5343175196515;0.0;384.0;0.0;757.5343175196515;512.0;0.0;0.0;1.0,church,church
2014,00062.png,0.9099635315370384;-0.22669618933875066;-0.34723941166280486;0.26063318209243813;0.9639436724901601;0.0536930224382364;0.32254723013073844;-0.1393608051263779;0.9362381376175167,-9.891865619412808;11.70321797487094;21.96032736226389,401.96703159900625;0.0;512.0;0.0;401.96703159900625;384.0;0.0;0.0;1.0,church,church
2015,00063.png,0.5867567591098132;-0.37797081822508366;-0.7161386501294351;0.711044624929126;0.6636628072870747;0.23230845783836146;0.3874687690619043;-0.6455150957135705;0.6581627566244939,-8.319137141657182;-0.16235606233925487;0.2757916555521936,717.8241752956975;0.0;384.0;0.0;717.8241752956975;512.0;0.0;0.0;1.0,church,church
2016,00064.png,0.5247825568001498;-0.3165067276266713;-0.790206782712825;0.5311086116684366;0.8471981051901738;0.013379580479409708;0.665226961788173;-0.42670699775048826;0.6126942364514631,-24.550972912390144;-1.9432557295816517;-4.439383308858744,714.3334943750018;0.0;384.0;0.0;714.3334943750018;512.0;0.0;0.0;1.0,church,church
2017,00065.png,0.9784298798535634;-0.12255987935580644;-0.16629505759953145;0.17462840237032032;0.9207628819403137;0.34885618286990033;0.1103625448027129;-0.37037115332225595;0.9223043518770857,-20.186063120841037;10.280033072354284;10.499670949086802,712.685262047588;0.0;384.0;0.0;712.685262047588;512.0;0.0;0.0;1.0,church,church
2018,00066.png,0.9961181661009849;0.025644230080459626;0.08420791309129497;-0.030875398712582974;0.9976344001193658;0.06141916193511729;-0.0824336637421246;-0.06378069584171672;0.9945535249145703,-22.672218954095484;17.39891073490615;31.661120163357264,701.1442014865602;0.0;384.0;0.0;701.1442014865602;512.0;0.0;0.0;1.0,church,church
2019,00067.png,0.9963081428764994;0.06647635775093229;0.05432290767393565;-0.07863067030850339;0.960586142839825;0.26662985555061675;-0.034457250685687585;-0.2699169428625728;0.9622668766152696,-23.140624520904538;24.093546087737685;24.729525697208345,2158.755837980471;0.0;384.0;0.0;2158.755837980471;512.0;0.0;0.0;1.0,church,church
2020,00068.png,0.9917857697426457;0.060869258532809;0.11249853466447429;-0.09669443493045851;0.9325344181576727;0.3478932957169629;-0.08373274860809951;-0.3559136023208399;0.9307600842824836,-21.40499333082984;26.447687163042634;23.091905323733798,2124.6426717706518;0.0;384.0;0.0;2124.6426717706518;512.0;0.0;0.0;1.0,church,church
2021,00069.png,0.9897575609580201;0.06557864145015338;0.12680462259706216;-0.07711176492277541;0.9931056628721134;0.08828883327938357;-0.12014052703782252;-0.09716266853525786;0.98799072344136,-20.703412038231395;19.356618687166357;31.877625095355985,699.0749557410753;0.0;384.0;0.0;699.0749557410753;512.0;0.0;0.0;1.0,church,church
2022,00070.png,0.9969806290125844;-0.020705178547778137;-0.07483930087177529;0.028343004526097577;0.9943310665629864;0.10248123809823687;0.0722931495240392;-0.10429297986450733;0.9919156591580135,-24.404344914850864;27.28340453014709;46.01528164225619,389.4674948834709;0.0;384.0;0.0;389.4674948834709;512.0;0.0;0.0;1.0,church,church
2023,00071.png,0.9474918726994224;0.08187164917499008;0.30912163339033555;-0.0884138326696491;0.9960578811767196;0.007189682775156851;-0.3073144079948172;-0.03414279436588988;0.9509953334436945,-26.20568851785592;20.504122602779844;43.32520080446973,683.6956877485862;0.0;384.0;0.0;683.6956877485862;512.0;0.0;0.0;1.0,church,church
2024,00072.png,0.9379668463320319;0.13109302279413335;0.32098724983500415;-0.1841723214924891;0.9727420539456838;0.14090227990206394;-0.2937664909039317;-0.19127863409233448;0.9365435029734396,-24.65984852450208;28.088920597865958;37.66998175049431,2108.981054441757;0.0;384.0;0.0;2108.981054441757;512.0;0.0;0.0;1.0,church,church
2025,00073.png,0.9994171611646165;-0.011959828426812338;0.0319734338734517;0.014922961279150545;0.9954504667869544;-0.09410458756243337;-0.030702494952686673;0.09452687806986923;0.995048755652729,-18.780976958731877;17.680278316411165;52.593565061095106,730.5046301130695;0.0;384.0;0.0;730.5046301130695;512.0;0.0;0.0;1.0,church,church
2026,00074.png,0.8577346167988757;0.1610163055088944;0.4882264602673151;-0.11610773685781;0.9858215415283222;-0.12113992612049881;-0.5008096650291839;0.04721903873427272;0.864268500984716,-15.03397076352234;17.04145332055258;52.04890773276212,1453.2078507781216;0.0;384.0;0.0;1453.2078507781216;512.0;0.0;0.0;1.0,church,church
2027,00075.png,0.9934244003888423;-0.08490880114242386;-0.07680140754325689;0.06885237211607553;0.9790223276304952;-0.19176713184212976;0.091473010041534;0.18521818887334915;0.9784308411658015,-43.788150472729875;7.338223983542486;33.975474362321336,1435.8640318882838;0.0;384.0;0.0;1435.8640318882838;512.0;0.0;0.0;1.0,church,church
2028,00076.png,0.9999841319728833;-0.0028964896757232564;-0.004831785384058873;0.0028888587333082425;0.9999945702424451;-0.0015855537980446295;0.004836351688842021;0.0015715702930297576;0.9999870698509836,-26.83148268850673;20.635408804729703;44.6324009138522,732.2278948252136;0.0;384.0;0.0;732.2278948252136;512.0;0.0;0.0;1.0,church,church
2029,00077.png,0.9974952332847624;0.003849655140129483;0.0706288873583576;-0.003498844451833602;0.9999809248112524;-0.005090000111401689;-0.07064713484409232;0.004830131357869125;0.9974896752194412,-25.608863524945537;20.09802387329238;45.351405886384704,391.84463856947383;0.0;384.0;0.0;391.84463856947383;512.0;0.0;0.0;1.0,church,church
2030,00078.png,0.8574809711714702;0.17093422062551408;0.4852915374267106;-0.10268904532656117;0.9810807155628755;-0.16412065537450113;-0.5041640051101941;0.09089621427641734;0.8588111167081292,-24.99071608638692;15.479109716022336;52.41627540747759,691.9882997749955;0.0;384.0;0.0;691.9882997749955;512.0;0.0;0.0;1.0,church,church
2031,00079.png,0.9928506358067144;0.02613970970010833;0.11646600600603198;-0.041778185952757785;0.990109731274661;0.13393021770203867;-0.11181322889846178;-0.1378384402552958;0.9841231458670645,-24.477395480050166;26.01620199086752;39.4157141595655,2090.496598884543;0.0;384.0;0.0;2090.496598884543;512.0;0.0;0.0;1.0,church,church
2032,00080.png,0.9921864844148931;0.0877533383616662;0.08868670560347765;-0.08695388385298879;0.9961295176930518;-0.01284546859748463;-0.08947067803082707;0.005033446830051178;0.9959767377733845,-26.374351606104057;21.421538756545093;43.461623873661914,737.691698384665;0.0;384.0;0.0;737.691698384665;512.0;0.0;0.0;1.0,church,church
2033,00081.png,0.8313203426778651;0.19926834086885994;0.5188435372801021;-0.19519061412253838;0.9787302646122285;-0.06314818517220842;-0.5203913066226444;-0.04877701773836767;0.8525336887960075,-28.289115610615635;22.028033159192415;47.64717293912392,681.3644995668807;0.0;384.0;0.0;681.3644995668807;512.0;0.0;0.0;1.0,church,church
2034,00082.png,0.9906874671597796;0.05465918717942715;0.12470250867334172;-0.04847381589942139;0.9974642308545316;-0.0521094745504755;-0.12723455342276138;0.04557939690981001;0.9908248518243012,-26.87929734735387;19.25749212061745;46.71452142842715,735.4930501772242;0.0;384.0;0.0;735.4930501772242;512.0;0.0;0.0;1.0,church,church
2035,00083.png,0.7598494713941091;0.18964500165721462;0.6218227674896828;-0.22433501574999085;0.9742407370776028;-0.022995367510446715;-0.6101660278404104;-0.1220236024911747;0.7828203235127019,-22.178896885748248;24.09293950630415;48.921072650911476,687.1196121043554;0.0;384.0;0.0;687.1196121043554;512.0;0.0;0.0;1.0,church,church
2036,00084.png,0.6813365611774714;0.23936451429188194;0.6917261883871892;-0.2558678601584597;0.9632861918733451;-0.08131021266778221;-0.6857930653927529;-0.12159087895052206;0.7175677874704598,-16.51331741223615;24.192009645618384;51.234553442934235,685.9734821829041;0.0;384.0;0.0;685.9734821829041;512.0;0.0;0.0;1.0,church,church
2037,00085.png,0.7493702908559021;0.18496506836666288;0.6357924902565746;-0.13323989444500772;0.9826738355660729;-0.1288381287590984;-0.6486071983186927;0.011834541730821137;0.7610313041598207,-27.08833483824013;16.62029705518723;52.27630345655369,689.3495988485595;0.0;384.0;0.0;689.3495988485595;512.0;0.0;0.0;1.0,church,church
2038,00086.png,0.9683993121931918;0.09575306270717956;0.23029138743328656;-0.08969116541767996;0.9952942001384334;-0.03667356018733919;-0.23271928796249683;0.01485954753654896;0.972430422630451,-26.991423202066446;23.364385099932438;53.12901844732585,730.1970975106548;0.0;384.0;0.0;730.1970975106548;512.0;0.0;0.0;1.0,church,church
2039,00087.png,0.8287413775585524;0.1755223905692635;0.531394034150934;-0.17209148397630936;0.9834618802258819;-0.05645574625673397;-0.5325150235112477;-0.04466117498929004;0.8452414620588553,-33.916526942454325;20.54160475091494;46.85457461826772,2201.0387404074986;0.0;384.0;0.0;2201.0387404074986;512.0;0.0;0.0;1.0,church,church
2040,00088.png,0.9320079863506933;0.13030444305134675;0.33820388155608794;-0.16325554905784384;0.9840432316482068;0.07075693569661845;-0.32358729746445236;-0.12115968953588396;0.9384090742054982,-20.406893804308933;30.070344219511234;50.06937588461943,2093.2158648683835;0.0;384.0;0.0;2093.2158648683835;512.0;0.0;0.0;1.0,church,church
2041,00089.png,0.9509266058794286;0.1320298943170095;0.2798333383234908;-0.10934992975260793;0.9894303472647767;-0.09523749668383204;-0.2894497937358561;0.059964113585898246;0.9553131015474078,-26.138453326237812;22.114479260009226;56.85499956107713,728.74772101436;0.0;384.0;0.0;728.74772101436;512.0;0.0;0.0;1.0,church,church
2042,00090.png,0.5115010118149397;0.3156252613592232;0.7992167473872248;-0.10370794654899528;0.9459742287784644;-0.3072090824008631;-0.8530013931611623;0.07425262876768453;0.5165996229055968,-13.27707894801941;10.79826440723518;61.102457845480686,387.4050105268757;0.0;384.0;0.0;387.4050105268757;512.0;0.0;0.0;1.0,church,church
2043,00091.png,0.8046205558441576;0.1659185979941225;0.5701375096875345;0.0011297914106623563;0.9597384864612785;-0.28089279303033543;-0.5937882490285633;0.22665625172202783;0.7720378610346215,-37.21556531286701;5.4377454960881;52.6083315827584,2229.08495629292;0.0;384.0;0.0;2229.08495629292;512.0;0.0;0.0;1.0,church,church
2044,00092.png,0.741956563867014;0.217874892455655;0.6340591364944522;-0.2248051013244639;0.9718225852074385;-0.07087686011124186;-0.6316352774767661;-0.08995217683951737;0.7700295332834196,-31.65229392761632;23.22655938953253;51.63309818084562,2237.8528220668068;0.0;384.0;0.0;2237.8528220668068;512.0;0.0;0.0;1.0,church,church
2045,00093.png,0.5952704451344784;0.22874590539279022;0.7702781367242828;-0.3849082535463046;0.9226566390815907;0.023459810540519516;-0.7053359011856224;-0.3104513442146709;0.6372764152029873,-20.13283890382618;33.95051594276488;48.59193367053032,2103.6100916805212;0.0;384.0;0.0;2103.6100916805212;512.0;0.0;0.0;1.0,church,church
2046,00094.png,0.8877810599130685;0.16593386127824872;0.42931427106598674;-0.17293633596139424;0.984665211907746;-0.022966152549382057;-0.42654169006543363;-0.053855121761672925;0.9028631194683716,-24.72572363575697;24.35443306101087;49.797414026798464,736.6277678786225;0.0;384.0;0.0;736.6277678786225;512.0;0.0;0.0;1.0,church,church
2047,00095.png,0.9108179215240618;0.16529414289695638;0.37827048543938563;-0.15988932094735864;0.9860674217597113;-0.04589602151764549;-0.3805865458441489;-0.018678492126405585;0.9245566478341407,-29.33675396751816;22.31214682587556;47.310678068706224,740.4985001516771;0.0;384.0;0.0;740.4985001516771;512.0;0.0;0.0;1.0,church,church
2048,00096.png,0.16108939947472434;0.3547200403847993;0.9209907156569381;-0.0495361374571808;0.9349080047283802;-0.3514159839572216;-0.9856958843693606;0.01098706713391881;0.16817522972512566,3.688843294747168;6.2391997284852865;58.96780990091559,710.031737770092;0.0;512.0;0.0;710.031737770092;384.0;0.0;0.0;1.0,church,church
2049,00097.png,0.8239998357722015;0.18399987488795025;0.535880879196677;-0.25195010321161326;0.9661371051686753;0.055679794431636856;-0.5074893261331143;-0.18089538429023155;0.8424556034613616,-23.286234094290464;27.88966985465554;45.61817544761388,2190.8383949684317;0.0;384.0;0.0;2190.8383949684317;512.0;0.0;0.0;1.0,church,church
2050,00001.png,-0.13287735089213104;-0.38610781630581703;-0.9128331522285131;0.4096726987359367;0.8172461376058557;-0.40531102930801827;0.9025031243881125;-0.4278194768308991;0.049584329317151066,44.99988140229224;23.519592516025515;64.2402831507784,688.1327008743596;0.0;512.0;0.0;688.1327008743596;384.0;0.0;0.0;1.0,church,church
2051,00098.png,0.8077612704075079;0.19391610343086954;0.5567030401029236;-0.2556673662368889;0.9661516194962247;0.034427401678236796;-0.5311835161892184;-0.17013992175562573;0.8299978790056322,-22.182859714969286;27.472703009052005;40.88146128797834,10237.29937424063;0.0;384.0;0.0;10237.29937424063;512.0;0.0;0.0;1.0,church,church
