image_id,camera_intrinsics,rotation_matrix,translation_vector
image_153.jpeg,1533.533935546875 0 967.6464233398438 0 719.0926513671875 0.01347639411687851 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_152.jpeg,1531.796630859375 0 969.0858154296875 0 719.4130859375 0.009268057532608509 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_151.jpeg,1534.863037109375 0 967.2239990234375 0 718.9114379882812 0.012096461839973927 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_150.jpeg,1534.5947265625 0 967.9215698242188 0 718.11279296875 0.010835662484169006 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_149.jpeg,1535.7601318359375 0 972.9223022460938 0 717.846923828125 0.00886694435030222 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_148.jpeg,1532.70458984375 0 970.192138671875 0 717.5036010742188 0.0077749197371304035 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_147.jpeg,1532.069580078125 0 967.5327758789062 0 715.7615966796875 0.013517286628484726 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_146.jpeg,1530.5306396484375 0 969.6046752929688 0 716.0362548828125 0.015225631184875965 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_145.jpeg,1533.4395751953125 0 965.774169921875 0 712.3118286132812 0.012491889297962189 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_144.jpeg,1533.9329833984375 0 970.3938598632812 0 714.6709594726562 0.013277396559715271 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_143.jpeg,1534.0399169921875 0 969.057861328125 0 716.476806640625 0.007275145035237074 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_142.jpeg,1534.65478515625 0 966.9010620117188 0 716.4614868164062 0.010489581152796745 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_141.jpeg,1532.50830078125 0 966.0803833007812 0 718.3279418945312 0.011327401734888554 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_140.jpeg,1530.523193359375 0 962.5711669921875 0 719.9849853515625 0.010302080772817135 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_139.jpeg,1527.907958984375 0 972.15673828125 0 717.2455444335938 0.007965863682329655 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_138.jpeg,1524.984375 0 970.693603515625 0 716.9821166992188 0.01806451380252838 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_137.jpeg,1528.0445556640625 0 969.9201049804688 0 714.6383666992188 0.013180289417505264 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_136.jpeg,1531.7459716796875 0 968.9058227539062 0 714.058349609375 0.014751157723367214 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_135.jpeg,1530.3270263671875 0 970.8988647460938 0 715.235107421875 0.010764412581920624 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_134.jpeg,1527.4669189453125 0 971.9841918945312 0 716.6801147460938 0.015071545727550983 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_133.jpeg,1528.483642578125 0 970.6231689453125 0 717.3322143554688 0.00865909829735756 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_132.jpeg,1529.0390625 0 970.9259033203125 0 717.8236694335938 0.007262864150106907 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_131.jpeg,1530.662353515625 0 971.5306396484375 0 718.9601440429688 0.004424221348017454 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_130.jpeg,1532.5760498046875 0 971.389404296875 0 719.3164672851562 0.006655922159552574 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_129.jpeg,1534.1090087890625 0 968.95068359375 0 718.6251831054688 0.0053145913407206535 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_128.jpeg,1530.4254150390625 0 967.1822509765625 0 721.1598510742188 0.007642253767699003 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_127.jpeg,1533.7724609375 0 966.2691650390625 0 718.8057861328125 0.008494551293551922 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_058.jpeg,1528.0684814453125 0 973.5651245117188 0 715.5617065429688 0.008168209344148636 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_057.jpeg,1525.574462890625 0 975.566162109375 0 715.345947265625 0.012074285186827183 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_056.jpeg,1527.0255126953125 0 974.49169921875 0 713.4537353515625 0.006721378304064274 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_055.jpeg,1526.6357421875 0 972.3729858398438 0 716.6554565429688 0.008567350916564465 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_054.jpeg,1532.2884521484375 0 970.6222534179688 0 716.218017578125 0.006551993545144796 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_053.jpeg,1527.342041015625 0 975.0499877929688 0 714.6828002929688 0.003505651606246829 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_052.jpeg,1532.6402587890625 0 972.4923095703125 0 714.4940795898438 0.003653590101748705 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_051.jpeg,1527.065185546875 0 974.14990234375 0 714.5032958984375 0.008692717179656029 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_050.jpeg,1527.004150390625 0 973.6119995117188 0 714.4842529296875 0.00858849287033081 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_049.jpeg,1525.4976806640625 0 971.6901245117188 0 712.5596923828125 0.010455709882080555 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_048.jpeg,1525.9295654296875 0 970.708251953125 0 713.7254028320312 0.013574345968663692 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_047.jpeg,1528.30029296875 0 972.8794555664062 0 713.83544921875 0.008466583676636219 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_046.jpeg,1527.2843017578125 0 973.6760864257812 0 714.1168823242188 0.010055240243673325 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_045.jpeg,1528.3460693359375 0 972.7014770507812 0 714.3632202148438 0.009953510947525501 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_044.jpeg,1526.6910400390625 0 970.0927124023438 0 714.3023681640625 0.008736594580113888 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_043.jpeg,1527.6905517578125 0 970.2733154296875 0 715.8025512695312 0.004715489223599434 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_042.jpeg,1529.0911865234375 0 970.9994506835938 0 711.9525756835938 0.006310346070677042 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_041.jpeg,1530.2630615234375 0 969.7660522460938 0 714.7420043945312 0.006460094358772039 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_040.jpeg,1528.082275390625 0 972.532958984375 0 714.849853515625 0.00636306731030345 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_039.jpeg,1527.14404296875 0 971.3697509765625 0 717.536376953125 0.004694144241511822 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_038.jpeg,1532.561279296875 0 969.3595581054688 0 715.7758178710938 0.004023194313049316 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_037.jpeg,1531.601806640625 0 969.3796997070312 0 715.9578247070312 0.002915607299655676 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_036.jpeg,1532.925537109375 0 967.96044921875 0 715.3731079101562 0.0025492787826806307 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_035.jpeg,1531.22900390625 0 970.30029296875 0 715.0850219726562 0.005450280383229256 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_034.jpeg,1530.827392578125 0 970.5320434570312 0 716.1749267578125 0.0074304393492639065 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_033.jpeg,1527.3629150390625 0 971.7799682617188 0 715.147705078125 0.009191757999360561 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_032.jpeg,1527.6915283203125 0 971.5927124023438 0 715.16650390625 0.007132182829082012 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_031.jpeg,1531.1796875 0 971.3033447265625 0 715.8433227539062 0.0061367470771074295 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_030.jpeg,1530.9849853515625 0 970.9332275390625 0 715.4081420898438 0.0063079423271119595 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_029.jpeg,1529.5103759765625 0 973.5022583007812 0 715.1112060546875 0.005586808081716299 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_012.jpeg,1528.774658203125 0 972.8665161132812 0 714.6076049804688 0.0038667579647153616 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_011.jpeg,1529.19873046875 0 971.5465087890625 0 716.0791015625 0.004396635573357344 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_010.jpeg,1527.8388671875 0 972.7030639648438 0 714.4518432617188 0.00483629060909152 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_009.jpeg,1528.098876953125 0 973.360595703125 0 714.416259765625 0.007493559271097183 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_008.jpeg,1527.442626953125 0 974.2736206054688 0 714.6026000976562 0.005627168342471123 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_007.jpeg,1527.4432373046875 0 972.2249755859375 0 715.4164428710938 0.004890405107289553 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_006.jpeg,1526.8575439453125 0 973.4295654296875 0 714.6873779296875 0.004729314241558313 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_005.jpeg,1527.4473876953125 0 972.0726928710938 0 713.8748168945312 0.006651022005826235 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_004.jpeg,1525.23828125 0 971.7503051757812 0 715.2184448242188 0.004777894821017981 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_003.jpeg,1526.675048828125 0 971.9818115234375 0 715.007080078125 0.007674577180296183 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_002.jpeg,1524.899658203125 0 974.593017578125 0 714.3353271484375 0.007245330139994621 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_001.jpeg,1523.19189453125 0 972.9330444335938 0 715.1688842773438 0.010642269626259804 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_000.jpeg,1523.8162841796875 0 973.732177734375 0 715.0670166015625 0.008459559641778469 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_013.jpeg,1527.402099609375 0 972.5380859375 0 714.3817138671875 0.005899570882320404 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_014.jpeg,1525.4195556640625 0 972.6075439453125 0 714.076904296875 0.00864239688962698 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_015.jpeg,1526.23583984375 0 972.0117797851562 0 712.26611328125 0.007944117300212383 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_016.jpeg,1528.005615234375 0 971.1669921875 0 713.5394897460938 0.00682185310870409 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_017.jpeg,1530.21142578125 0 971.1439819335938 0 713.7689819335938 0.003986479714512825 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_018.jpeg,1530.9522705078125 0 970.4725341796875 0 714.8864135742188 0.006083230022341013 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_019.jpeg,1533.7672119140625 0 971.1798706054688 0 714.0970458984375 0.0010720983846113086 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_020.jpeg,1534.0013427734375 0 971.0267944335938 0 714.6368408203125 0.003272406989708543 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_021.jpeg,1534.534423828125 0 972.21826171875 0 713.8863525390625 0.0022932698484510183 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_022.jpeg,1534.7547607421875 0 971.28564453125 0 715.53857421875 0.0020575395319610834 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_023.jpeg,1534.1590576171875 0 971.0421752929688 0 713.0760498046875 0.003251381916925311 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_024.jpeg,1534.415771484375 0 966.5306396484375 0 717.2673950195312 0.005027697887271643 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_025.jpeg,1535.3653564453125 0 969.9534301757812 0 715.8350830078125 0.0034093542490154505 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_026.jpeg,1533.791015625 0 969.0939331054688 0 716.6509399414062 0.0041242484003305435 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_027.jpeg,1531.4561767578125 0 970.1481323242188 0 715.6616821289062 0.0070447130128741264 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_028.jpeg,1532.7591552734375 0 969.2977294921875 0 716.3657836914062 0.008991668000817299 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_059.jpeg,1527.0634765625 0 973.3727416992188 0 713.9191284179688 0.006199689116328955 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_060.jpeg,1525.4803466796875 0 974.5224609375 0 713.7186279296875 0.008611956611275673 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_061.jpeg,1526.1026611328125 0 973.8153076171875 0 714.9869384765625 0.010183898732066154 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_062.jpeg,1524.122802734375 0 977.9429931640625 0 713.9603881835938 0.00865886639803648 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_063.jpeg,1528.0489501953125 0 974.423828125 0 714.7321166992188 0.00569724990054965 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_064.jpeg,1525.527099609375 0 978.6618041992188 0 714.4971923828125 0.007630682550370693 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_065.jpeg,1524.01123046875 0 979.81591796875 0 715.0723266601562 0.007795946206897497 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
1587.166015625,1524.899658203125 0 974.593017578125 0 714.3353271484375 0.007245330139994621 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_066.jpeg,1523.0904541015625 0 979.7973022460938 0 715.4318237304688 0.008910305798053741 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_067.jpeg,1524.0023193359375 0 977.5418701171875 0 715.2357788085938 0.010770763270556927 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_068.jpeg,1524.8045654296875 0 975.8687744140625 0 714.51806640625 0.010108239017426968 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_069.jpeg,1523.6123046875 0 976.7479248046875 0 715.9086303710938 0.012275601737201214 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_070.jpeg,1525.8489990234375 0 973.5469970703125 0 717.7999877929688 0.01098118256777525 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_071.jpeg,1526.8773193359375 0 975.298095703125 0 716.111328125 0.010655079036951065 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_072.jpeg,1527.1431884765625 0 975.0848999023438 0 717.8279418945312 0.011733181774616241 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_073.jpeg,1528.9078369140625 0 973.5493774414062 0 717.8251342773438 0.007976669818162918 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_074.jpeg,1527.9945068359375 0 974.4418334960938 0 716.6795043945312 0.007961750030517578 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_075.jpeg,1528.7867431640625 0 973.0742797851562 0 716.4336547851562 0.011903583072125912 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_076.jpeg,1526.372802734375 0 974.7819213867188 0 717.1476440429688 0.010598260909318924 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_077.jpeg,1528.478271484375 0 971.9957275390625 0 717.1597900390625 0.008983125910162926 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_078.jpeg,1527.3792724609375 0 974.47998046875 0 717.6203002929688 0.007526628207415342 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_079.jpeg,1528.157958984375 0 972.9111328125 0 717.3275146484375 0.0087243327870965 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_080.jpeg,1525.9791259765625 0 973.70703125 0 715.1710205078125 0.01091031264513731 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_081.jpeg,1527.8443603515625 0 972.728271484375 0 715.687255859375 0.007789400406181812 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_082.jpeg,1527.5367431640625 0 973.60205078125 0 716.94580078125 0.007538119796663523 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_083.jpeg,1528.3519287109375 0 972.6288452148438 0 717.0011596679688 0.009667224250733852 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_084.jpeg,1528.30810546875 0 972.323974609375 0 717.0457763671875 0.009340142831206322 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_085.jpeg,1527.88818359375 0 975.0245971679688 0 717.8943481445312 0.007357561495155096 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_086.jpeg,1529.57666015625 0 974.7308349609375 0 716.3831787109375 0.0070473672822117805 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_087.jpeg,1527.2393798828125 0 976.2019653320312 0 716.548583984375 0.006680342834442854 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_088.jpeg,1528.76171875 0 974.8924560546875 0 717.4262084960938 0.008966086432337761 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_089.jpeg,1526.97265625 0 974.6736450195312 0 716.9622192382812 0.012052805162966251 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_090.jpeg,1531.7474365234375 0 973.3955078125 0 714.6538696289062 0.009836357086896896 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_091.jpeg,1528.3427734375 0 975.4458618164062 0 712.6283569335938 0.00575501611456275 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_092.jpeg,1527.248291015625 0 977.404296875 0 713.5542602539062 0.008129997178912163 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_093.jpeg,1527.270263671875 0 979.44384765625 0 713.6027221679688 0.009035385213792324 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_094.jpeg,1524.19580078125 0 979.9995727539062 0 713.1842041015625 0.008040234446525574 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_095.jpeg,1527.8538818359375 0 973.2188720703125 0 716.95458984375 0.008780639618635178 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_096.jpeg,1528.061279296875 0 973.811279296875 0 715.7698974609375 0.01078177709132433 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_097.jpeg,1524.624267578125 0 978.4459228515625 0 714.2344360351562 0.011040044017136097 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_098.jpeg,1524.6524658203125 0 978.730224609375 0 712.9081420898438 0.009960965253412724 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_099.jpeg,1523.701171875 0 977.3784790039062 0 716.4581298828125 0.008284959942102432 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_100.jpeg,1529.8309326171875 0 972.2589721679688 0 712.318115234375 0.0059858993627130985 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_101.jpeg,1526.0982666015625 0 975.6388549804688 0 714.0354614257812 0.008558574132621288 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_102.jpeg,1525.4998779296875 0 976.1411743164062 0 711.847412109375 0.01037819217890501 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_103.jpeg,1528.5986328125 0 974.0484008789062 0 713.4420776367188 0.013230545446276665 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_104.jpeg,1524.9681396484375 0 969.6661376953125 0 715.1791381835938 0.010560719296336174 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_105.jpeg,1529.1104736328125 0 967.8264770507812 0 714.4091186523438 0.008898211643099785 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_106.jpeg,1530.5616455078125 0 971.8988037109375 0 715.5394287109375 0.00338313658721745 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_107.jpeg,1532.3408203125 0 971.3775024414062 0 716.3531494140625 0.00016225669241975993 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_108.jpeg,1535.28515625 0 972.1744384765625 0 718.4463500976562 -0.0012358070816844702 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_109.jpeg,1535.486572265625 0 973.2005615234375 0 718.2601318359375 -0.0026146303862333298 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_110.jpeg,1531.126220703125 0 972.7613525390625 0 718.9078369140625 0.00013939656491857022 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_111.jpeg,1533.62255859375 0 970.7843017578125 0 718.1102294921875 0.005408215802162886 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_112.jpeg,1535.518798828125 0 970.6299438476562 0 716.3399658203125 -8.471728506265208e-05 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_113.jpeg,1531.4056396484375 0 969.0719604492188 0 711.86962890625 0.007209481205791235 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_114.jpeg,1528.9637451171875 0 969.2384033203125 0 713.188720703125 0.007993174716830254 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_115.jpeg,1530.0250244140625 0 967.8040771484375 0 712.0621337890625 0.007251147646456957 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_116.jpeg,1525.6513671875 0 972.0335693359375 0 716.6187133789062 0.004302858840674162 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_117.jpeg,1525.3853759765625 0 972.4544067382812 0 716.9031372070312 0.0034236107021570206 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_118.jpeg,1525.4091796875 0 971.4688720703125 0 714.665283203125 0.006504215765744448 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_119.jpeg,1529.1534423828125 0 970.0592651367188 0 712.2364501953125 0.007176791783422232 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_120.jpeg,1526.8153076171875 0 967.6284790039062 0 712.3731689453125 0.012702553533017635 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_121.jpeg,1528.171875 0 968.3760375976562 0 713.0292358398438 0.01043668296188116 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_122.jpeg,1527.3895263671875 0 968.8630981445312 0 714.0203857421875 0.012602714821696281 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_123.jpeg,1528.638427734375 0 968.7885131835938 0 715.452880859375 0.012282882817089558 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_124.jpeg,1531.502685546875 0 965.6490478515625 0 717.1795043945312 0.012216807343065739 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_125.jpeg,1534.4942626953125 0 964.9244384765625 0 717.1080322265625 0.01109696552157402 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
image_126.jpeg,1530.634521484375 0 965.4817504882812 0 718.1807250976562 0.013063726015388966 0 0 1,1 1 1 1 1 1 1 1 1,1 1 1
